irrelevant,misattributed FACETS,coarse FACETS item,granular FACETS item,not in FACETS,Subcategory,Max FACETS similarity,Source,Max non-FACETS similarity,Max FACETS similarity value,Max non-FACETS similarity value,Category,Brief Description,Description
,,,,1,thinking and metacognition,Thinking Speed,Frameworks,thinking about our thinking (metacognition),0.597,0.819,ACT Holistic Framework,Mastering modes of thinking that apply to broad classes of problems,
,,,1,,math strategies/procedures,Learning Strategies,Frameworks,cognitive processes and strategies,0.597,0.523,Employability Skills,"Student uses computational skills appropriately and make logical choices when analyzing and differentiating among available procedures. Outside of math class, this includes creating/interpreting tables and graphs and organizing/displaying data.",
,,,,1,Energy Level,Activity Level,Claude Opus 4.5,Energy Level,0.596,0.941,Physical Well-Being,Observable vitality and alertness,"The student's typical level of physical energy, alertness, and vitality during the school day."
,,,,1,Energy Level,Activity Level,Clinical scales,Energy Level,0.596,0.98,Physical Well-Being,Vitality and stamina,"The student's apparent energy, alertness, and physical vitality throughout the school day."
,,,,1,Energy Level,Activity Level,Clinical scales,Energy Level,0.596,0.98,Physical Well-Being,Typical vitality and physical stamina,"The student's general energy, alertness, and physical vigor during the school day"
,,,,1,social awareness,Social Communication,Frameworks,social awareness,0.595,0.97,CASEL,"The ability to take the perspective of and empathize with others, including those from diverse backgrounds and cultures. The ability to understand social and ethical norms for behavior and to recognize family, school, and community resources and supports. Perspective-taking Empathy Appreciating diversity Respect for others",
,,,,1,social awareness,Social Communication,Frameworks,social awareness,0.593,0.857,EU NESET Framework for Social and Emotional Education,"Students are able to take the perspective of and empathise with others, and recognize and appreciate individual and group similarities and differences, diversity and social inclusion. They have a sense of connectedness and belonging to the community. They are able to seek out and appropriately use family, school and community resources in age-appropriate ways. They demonstrate prosocial values and behaviours, and are motivated to contribute to the wellbeing of their schools and communities. They also appreciate and care for the physical environment. More specifically, this content area includes the following competencies: Perspective taking (identifying and understanding thoughts and feelings of others); Empathy; Appreciation and celebration of individual and group cultural and social differences and similarities; Awareness of resources and support networks (family, school and community); Prosocial values, attitudes and behaviour (honesty, respecting rights of others, feeling responsible for and supporting the well-being of others); Respect for, and protection of, the physical environment.",
,,1,,,self-management,Self-Control,Frameworks,self-management,0.593,0.84,Kenya TVET Values and Life Skills (VaLI) Framework,"Students are able to take responsibility for one's own behavior and well-being at the work place in order to effectively undertake and manage assigned tasks. This includes effective time-management, stress management, self-protection and are part of emotional intelligence.",
,,1,,1,positive social skills,Social Communication,Frameworks,social skills,0.591,0.799,IRC Social and Emotional Learning Competencies,"The set of skills which allow us to relate to one another in a positive way, through understanding others’ feelings and behavior and responding in a way that promotes positive social interaction.",
,,,1,1,Appropriate Emotional Expression,Emotion Regulation/Reactivity,GPT 5.2 Thinking,Emotional Expression,0.591,0.841,Emotional Expression,expressing feelings in ways that fit the setting and situation,"Appropriate emotional expression refers to matching the intensity, timing, and form of emotion to the context (e.g., using words instead of yelling, choosing a private moment to share strong feelings, or calming before rejoining a group). Difficulty may appear as emotion that is too intense for the situation, emotion that seems absent or hard to read, or emotion expressed in ways that disrupt learning or relationships."
,,,,,Self-Worth,Self-Confidence,Claude Opus 4.5,Self-Worth,0.59,0.979,Self-Perception,Sense of personal value,"The student's apparent sense of being a valued, likable, and worthwhile person, as reflected in statements and behavior."
,,,1,,Organization,Planning and Organization,Clinical scales,Organization,0.59,0.944,Attention and Focus,Managing materials and tasks,"The student's ability to keep track of belongings, organize work, and manage time and responsibilities."
,,,1,1,school engagement,Social Engagement,Frameworks,Engagement with Learning,0.59,0.745,Developmental Assets (ages 12-18),Young person is actively engaged in learning.,
,,,1,,"child recognizes self as a unique individual having own abilities, characteristics, emotions, and interests",Self-Image,Frameworks,child expresses a broad range of emotions and recognizes these emotions in self and others,0.59,0.743,Head Start,"Child recognizes self as a unique individual having own abilities, characteristics, emotions, and interests.",
,,,,1,Responsibility for Materials,Responsibility for Self & Others,GPT 5.2 Thinking,responsibility,0.589,0.614,Independence and Responsibility,keeping track of materials and using belongings responsibly,"Responsibility for materials refers to managing personal and school items (e.g., notebooks, devices, supplies, assignments) and treating them with care. Strong responsibility supports readiness and reduces lost instructional time. Difficulty may be seen in frequent lost items, missing materials, damaged supplies, or needing repeated reminders to bring or return needed items."
