"Source","Category","Subcategory","Brief Description","Description","Max FACETS similarity value","Max FACETS similarity","Max non-FACETS similarity value","Max non-FACETS similarity","Redundant FACETS","Redundant non-FACETS"
"Frameworks","Kenya TVET Values and Life Skills (VaLI) Framework","social justice","Students are able to demonstrate fair treatment of each other and promote of equity. To work towards creating a society driven by respect for human dignity, equity, solidarity and elimination of inequalities and discrimination. Also equal worth of all citizens.","","0.409","Social Communication","0.704","equality and social justice","Yes","Yes"
"Frameworks","Kenya TVET Values and Life Skills (VaLI) Framework","respect","Students are able to have positive regard towards self and others without prejudice; treating others in an appropriate way. The person exhibits a level of open-mindedness and willingness to understand and appreciate others. Respect should go hand in hand with humility, patience, acceptance and etiquette","","0.381","Tolerance","0.76","respect","Yes","Yes"
"Frameworks","Kenya TVET Values and Life Skills (VaLI) Framework","integrity","Students are able to have the ability to know, defend and do what is right at all times. One should exhibit commitment, courage, honesty, transparency, fairness and accountability. Students should be true to themselves, their values and their word.","","0.658","Integrity and Honesty","0.835","Honesty and Integrity","Yes","Yes"
"Frameworks","Kenya TVET Values and Life Skills (VaLI) Framework","responsibility","Students are able to recognize their role and function and proactively carrying it out to the best of their ability including caring for personal property, engaging in assigned roles and duties at home, school and in the wider community. The student should exhibit qualities such as accountability, diligence, self-drive, determination, and excellence","","0.638","Responsibility for Self & Others","0.809","responsibility","Yes","Yes"
"Frameworks","Kenya TVET Values and Life Skills (VaLI) Framework","peace","Students are able to be in a state of tranquility and harmony with oneself and among people. This can be modelled by creating an atmosphere of love, respect, tolerance, justice and solidarity","","0.347","Tolerance","0.749","love","No","Yes"
"Frameworks","Kenya TVET Values and Life Skills (VaLI) Framework","resilience","Students are able to have the ability to recover quickly from difficult situations, in essence demonstrating survival skills, adaptability and flexibility. It’s also the ability to cope with life situations and bounce back from adversity.","","0.476","Perseverance","0.914","Resilience","Yes","Yes"
"Frameworks","Kenya TVET Values and Life Skills (VaLI) Framework","patriotism","Students demonstrate the quality of having vigorous support for their country and fulfilling the rights and responsibilities of being a citizen. Students are able to show love of one’s country, the immense pride one feels and being a law abiding citizen.","","0.412","Academic Motivation","0.581","global citizenship","Yes","Yes"
"Frameworks","Kenya TVET Values and Life Skills (VaLI) Framework","regional citizenship","Students are able to understand the rights, responsibilities, participation and membership at the regional level.","","0.272","Reading","0.728","global citizenship","No","Yes"
"Frameworks","Kenya TVET Values and Life Skills (VaLI) Framework","global citizenship","Students are able to understand the idea of having rights and civic responsibilities that come with being a member of the world. They understand their responsibilities as a global citizen. Students identify with being part of an emerging world community and their actions contribute to building the community’s values and practices.","","0.28","Responsibility for Self & Others","0.748","citizenship","No","Yes"
"Frameworks","Kenya TVET Values and Life Skills (VaLI) Framework","unifying global diversity","Students have knowledge on the aspects that differentiate groups and people from one another and understanding one another by surpassing simple tolerance to ensure people truly value their differences and commonalities and to apply this value in finding sustainable global solutions. Students should demonstrate global awareness and recognition of the difference and commonalities among people from which they can understand each other","","0.401","Tolerance","0.703","respect for diversity","Yes","Yes"
